group,tile,cell_id,nuclei_in_cell,cell_class,cell_center_row,cell_center_col,R_px,r_perinuclear_px,mean_norm_radius_LysosomeA,mean_norm_radius_LysosomeB,perinuclear_fraction_LysosomeA,perinuclear_fraction_LysosomeB,cv_intensity_LysosomeA,cv_intensity_LysosomeB,radial_coupling_LysosomeA_vs_LysosomeB
treated,tile_024_y768_x768_C4.tif,1,1,mono,43.72403492647059,22.812729779411764,37.21941187421369,9.304852968553423,0.742012619972229,0.7614901065826416,0.0598059857537531,0.06041705204513552,0.4529951080445324,0.3381931376811776,0.6491165161132812
treated,tile_024_y768_x768_C4.tif,2,7,multi,132.01837931604163,117.0667024615893,87.78905933970391,21.947264834925978,0.8482904434204102,0.8117808103561401,0.04705849139065809,0.06276486536445298,0.41817714889454993,0.34426259799181275,0.42459315061569214
treated,tile_024_y768_x768_C4.tif,3,2,multi,157.19207381002306,236.47452296078842,38.96177411744094,9.740443529360235,0.8261263966560364,0.9405744075775146,0.07267740139533715,0.04727856700201574,0.4426051476008931,0.2638207629053047,-0.2897387444972992
treated,tile_024_y768_x768_C4.tif,4,1,mono,233.47203694202156,20.246280143663416,24.907548377900586,6.226887094475146,0.7617558240890503,0.7226555347442627,0.05255650653376672,0.0679495661515282,0.2577076391517875,0.3117712691865588,-0.21298334002494812
untreated,tile_000_y0_x0_C4.tif,1,1,mono,20.862295081967215,40.40506706408346,32.67919314712791,8.169798286781978,0.6830148696899414,0.7321839928627014,0.10024062104745962,0.08068442564227786,0.425885887596191,0.3360211092656434,0.9773351550102234
untreated,tile_000_y0_x0_C4.tif,3,1,mono,115.06499339498019,228.58256274768823,34.71027103568396,8.67756775892099,0.6470591425895691,0.7483935952186584,0.09844673955829304,0.07004306833668264,0.6630413948187085,0.33190167854190317,0.9323488473892212
untreated,tile_000_y0_x0_C4.tif,4,1,mono,159.0942359623801,35.95278890027004,58.4664849024366,14.61662122560915,0.7286518812179565,0.7585682272911072,0.07749353716963235,0.06639411647623393,0.38634157836847516,0.3387385550104092,0.8162992596626282
untreated,tile_000_y0_x0_C4.tif,5,1,mono,223.7792701469843,197.48808920425748,35.440807085661916,8.860201771415479,0.6653620004653931,0.7851329445838928,0.09548153599576989,0.05584486444779246,0.45651737029979544,0.48804788643579405,0.2259269654750824
untreated,tile_000_y0_x192_C4.tif,2,1,mono,124.29037195775295,58.81539874483392,45.60173768420883,11.400434421052207,0.628958523273468,0.7243877053260803,0.07312347513171051,0.040851743053350174,0.5329816997137262,0.2847173382486026,-0.05752580612897873
untreated,tile_000_y0_x192_C4.tif,3,2,multi,174.2431432758741,201.7459697117733,67.5356375894181,16.883909397354525,0.7213873863220215,0.7707377672195435,0.07987452599133803,0.05398752171254725,0.4571548849520527,0.3590073433445154,-0.6829597353935242
untreated,tile_000_y0_x384_C4.tif,1,2,multi,86.32830188679246,179.36843910806175,43.07837776129081,10.769594440322702,0.7598380446434021,0.7882712483406067,0.07354429454391956,0.07411430525968642,0.40096832717221964,0.3624189396784333,0.8425706028938293
untreated,tile_000_y0_x384_C4.tif,2,2,multi,165.34560158441988,44.2104307641525,62.1069979027893,15.526749475697326,0.6900669932365417,0.736556351184845,0.06989408914416971,0.05987573366023004,0.47346155874429896,0.31705981333701594,-0.26157259941101074
untreated,tile_000_y0_x384_C4.tif,4,1,mono,245.25934065934067,214.73241758241758,24.069150192943113,6.017287548235778,1.0159512758255005,0.9943304061889648,0.06437197481896784,0.056892646093236986,0.3337912012634799,0.27991902757780435,-0.14112548530101776
untreated,tile_000_y0_x576_C4.tif,3,1,mono,70.78700257658174,153.89741387536978,57.75438759698258,14.438596899245645,0.6411863565444946,0.6820433139801025,0.08714715473845175,0.07796480698642998,0.4218171347619325,0.34333738188890933,0.7172831296920776
untreated,tile_000_y0_x576_C4.tif,5,1,mono,239.57962872496336,61.85246702491451,36.09931675099059,9.024829187747647,0.8986429572105408,0.8395649194717407,0.08719066274954297,0.08776105265051896,0.4691938205097691,0.49269170804363066,0.8145662546157837
untreated,tile_000_y0_x768_C4.tif,1,4,multi,159.97793972818593,123.10389994090998,56.85172445952768,14.21293111488192,0.6702744364738464,0.6904606819152832,0.10697550094265312,0.08325521408068667,0.49280321523632664,0.42015395661232907,0.7612165808677673
untreated,tile_000_y192_x0_C4.tif,1,1,mono,42.30174844895657,188.41436360218086,41.14717826561512,10.28679456640378,0.7094607949256897,0.8310528993606567,0.09559163806291351,0.058474752683569255,0.4291954325611769,0.47842432553046343,0.337606817483902
untreated,tile_000_y192_x0_C4.tif,2,2,multi,166.30957230142567,226.15254582484724,39.53354950149989,9.883387375374973,0.623372495174408,0.687054455280304,0.08577282756333016,0.06062524803467356,0.4456488179814485,0.307209484227769,-0.34534952044487
untreated,tile_000_y192_x0_C4.tif,3,2,multi,214.7051282051282,139.1739040529363,39.23450783028786,9.808626957571965,0.7518399357795715,0.7579842805862427,0.08005568701960443,0.08293887431567903,0.3667673791417653,0.3858141729225657,0.8008148670196533
untreated,tile_000_y192_x0_C4.tif,4,2,multi,215.81446405510115,26.757425742574256,38.456049283597885,9.614012320899471,0.7693707942962646,0.7831623554229736,0.055063641336318546,0.06639874729761101,0.3725567103032194,0.353880062692629,-0.7739388346672058
